Image1,Image2,Label
"Arc_de_T\front_right\L'Histoire and Arc de Triomphe du Carrousel, 7 March 2010.jpg",Arc_de_T\front_left\Carrousel (32579996374).jpg,False
Arc_de_T\front_right\Paris 238.jpg,Arc_de_T\front_left\Arc de Triomphe du Carrousel 9 November 2009.jpg,False
"Arc_de_T\back\Street vendor, Jardin des Tuileries, Paris 23 August 2016.jpg",Arc_de_T\front\Paris Arc de Triomphe du Carrousel - panoramio (2).jpg,False
Arc_de_T\right\Paris - Arc de Triomphe du Carrousel - PA00085992 - 052.jpg,Arc_de_T\front_left\Arc de Triomphe du Carrousel - panoramio (4).jpg,False
"Arc_de_T\front_left\Achille Quinet, Arc du Carrousel, c. 1870.jpg","Arc_de_T\front_left\Paris Arc de Triomphe du Carrousel, 8 October 2011.jpg",True
Arc_de_T\back\Musee de louvre paris - panoramio.jpg,Arc_de_T\front\Carrousel du louvre.JPG,False
Arc_de_T\front\Arc de Triomphe du Carrousel - panoramio (90).jpg,Arc_de_T\back\FW Arc de Triomphe du Carrousel1.jpg,False
Arc_de_T\back\Paris Jardins du Carrousel E 02a Arc du Carrousel.jpg,"Arc_de_T\front\France - Paris, Tuileries Arch - panoramio.jpg",False
Arc_de_T\back\Paris - Palais du Louvre - PA00085992 - 685.jpg,Arc_de_T\front_left\PA00085992 carrousel du louvre.jpg,False
Arc_de_T\front_left\Arc de Triomphe du Carrousel.002 - Paris.jpg,"Arc_de_T\left\Place du Carrousel, Arc de triomphe du Carrousel, Paris 10 July 2010.jpg",False
"Arc_de_T\front\Triomphe du Carrousel, 28 February 2010 - panoramio.jpg",Arc_de_T\front_right\Paris - Jardin des Tuileries - Arc de Triomphe du Carrousel - PA00085992 - 001.jpg,False
Arc_de_T\front\Arc de triomphe du Carrousel 1.jpg,Arc_de_T\back\Arc de triomphe du Carrousel 2.jpg,False
Arc_de_T\front_left\Jardín des Tuileries (París).jpg,Arc_de_T\back\Paris Le Louvre-Modifier.jpg,False
Arc_de_T\front_right\Place du Carrousel (3665886945).jpg,Arc_de_T\front_left\Carrousel (32579996374).jpg,False
"Arc_de_T\back\Jardin des Tuileries, 2012, by night (3).JPG",Arc_de_T\front\Arc de Triomphe du Carrousel - Spring 2007.jpg,False
Arc_de_T\back\Paris - Louvre 1.jpg,Arc_de_T\front_left\Carrousel vu du Louvre.jpg,False
Arc_de_T\back\PARIS - Arc de Triomphe du Carrousel.jpg,Arc_de_T\front\Arc de triomphe du Carrousel 1.jpg,False
"Arc_de_T\front\Arc de Triomphe du Carrousel, Paris October 11, 2008.jpg",Arc_de_T\front_left\Arc de Triomphe du Carrousel (31179511275).jpg,False
"Arc_de_T\front\Jardin des Tuileries, 2012, by night (2).JPG",Arc_de_T\front_left\Arc de Triomphe du Carrousel.002 - Paris.jpg,False
"Arc_de_T\back\Arc de Triomphe du Carrousel from Tuileries, Paris 16 April 2014 002.jpg","Arc_de_T\front\Ceiling of room 76, Louvre 25 November 2011 A.jpg",False
Arc_de_T\back\Paris Louvre Arc du Triomphe du Caroussel 1.jpg,"Arc_de_T\front_left\A street vendor and the Arc de Triomphe du Carrousel, Paris 17 April 2014.jpg",False
Arc_de_T\back\Musée du Louvre - Arc de Triomphe du Carrousel.jpg,Arc_de_T\front\Arc de Triomphe du Carrousel (30294227115).jpg,False
Arc_de_T\front_right\Paris - Jardin des Tuileries - Arc de Triomphe du Carrousel - PA00085992 - 001.jpg,Arc_de_T\back\Paris Sous la neige (42938743524).jpg,False
Arc_de_T\front_right\Paris 75001 Place du Carrousel towards Pavillon de Marsan 01.jpg,Arc_de_T\front\Arc du Carrousel - Paris 1980.jpg,False
Arc_de_T\front_right\Musée du Louvre (Paris) (3).jpg,Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 18.jpg,False
Arc_de_T\back\Arc de Triomphe du Carrousel in 2009 (3385434964).jpg,"Arc_de_T\front\Arc de Triomphe du Carrousel, Paris April 25, 2012.jpg",False
"Arc_de_T\front\From Louvre to La Défense, Paris 2012.jpg",Arc_de_T\front\Paris - Arc de Triomphe du Carrousel - PA00085992 - 028.jpg,True
"Arc_de_T\front_left\Paris, July 1974 - Arc de Triomphe du Carrousel 02.jpg",Arc_de_T\front\Arc de triomph du Carrousel.JPG,False
Arc_de_T\front_right\Paris-Arc de Triomphe du Carrousel-104-2017-gje.jpg,Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 11.jpg,False
"Arc_de_T\front_right\Front right view of the Arc de Triomphe du Carrousel, Paris 001.jpg",Arc_de_T\back\Arco de Triunfo de Carrusel-Paris1522.jpg,False
Arc_de_T\back\FW Arc de Triomphe du Carrousel1.jpg,Arc_de_T\front_left\Paris l'Arc de triomphe du Carousel.jpg,False
Arc_de_T\front_left\Paris - Arc de Triomphe du Carrousel - PA00085992 - 019.jpg,"Arc_de_T\front_left\Arc de Triomphe du Carrousel, Paris 20 August 2006.jpg",True
Arc_de_T\front_left\Arc de Triomphe du Carrousel.004 - Paris.jpg,Arc_de_T\front_right\Paris Arc de Triomphe du Carrousel SW 01b.jpg,False
"Arc_de_T\back\Paris, Arc De Triomphe Du Carrousel. (110-68)-Paris, Arc De Triomphe Du Carrousel. (110-68) (NBY 420925).jpg",Arc_de_T\back\Arc Triomphe Carrousel - Paris I (FR75) - 2021-05-31 - 3.jpg,True
"Arc_de_T\back\Large round basin of Jardin des Tuileries, June 2010.jpg",Arc_de_T\back\Arc Triomphe Carrousel - Paris I (FR75) - 2021-05-31 - 1.jpg,True
Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 6.jpg,Arc_de_T\front_left\Arc de Triomphe du Carrousel - panoramio (4).jpg,False
"Arc_de_T\back\Arc du Triomphe du Carrousel, ca. 1900–40.jpg",Arc_de_T\back\Paris Arc Caroussel PA00085992 01 JPM.JPG,True
Arc_de_T\front\Arc Triomphe Carrousel façade est Paris 11.jpg,Arc_de_T\front\Paris - Arc de Triomphe du Carrousel - PA00085992 - 028.jpg,True
Arc_de_T\right\Relief Traité Presbourg arc Carrousel Paris.jpg,"Arc_de_T\front_right\Arc de Triomphe du Carrousel October 16, 2011.jpg",False
Arc_de_T\front_left\Concorde - Sun thru Arch.jpg,Arc_de_T\front_right\Tourists in Paris.jpg,False
Arc_de_T\back\FW Arc de Triomphe du Carrousel1.jpg,Arc_de_T\front_left\Caroussel HDR2 (6881555676).jpg,False
"Arc_de_T\back\Arc de Triomphe du Carrousel, Paris 2006.jpg",Arc_de_T\front\Paris - Arc de Triomphe du Carrousel - panoramio.jpg,False
"Arc_de_T\back\Large round basin of Jardin des Tuileries, Paris 2 August 2015 001.jpg",Arc_de_T\back\Francia (Lourvre).jpg,True
Arc_de_T\front\Arc de triomphe du Carrousel Face avant.jpg,"Arc_de_T\back\The Arch from the Jardin des Tuileries, Paris 23 August 2016.jpg",False
"Arc_de_T\front\Arc de Triomphe du Carrousel, Paris October 11, 2008.jpg",Arc_de_T\front_right\Paris Arc de Triomphe du Carrousel SW 01a.jpg,False
